	HSC	MPP1	MPP2	CLP	CMP	GMP	MEP	CD4	CD8	B_cell	Eryth	Granu	Mono	TBSC	ABSC	MTAC	CLDC	EPro	EDif
H19	0.232	0.395	0.362	0.453	0.436	0.437	0.382	0.424	0.518	0.372	0.384	0.434	0.414	0.319	0.249	0.288	0.372	0.301	0.422
Narf	0.008	0.001	0.003	0.003	0.003	0	0.001	0.003	0.003	0	0	0	0	0.003	0.001	0.005	0	0.003	0.002
Cav2	0	0	0.013	0.013	0.013	0.008	0.014	0.016	0.017	0.014	0	0.009	0.003	0.009	0.01	0.019	0	0	0.001
Klf6	0.329	0.333	0.3295	0.3555	0.3685	0.3545	0.3455	0.3515	0.346	0.3515	0.3435	0.3665	0.388	0.348	0.356	0.3375	0.3555	0.3645	0.3715
Scmh1	0.602	0.5873333333	0.5793333333	0.6086666667	0.595	0.6083333333	0.5603333333	0.6216666667	0.6013333333	0.625	0.5053333333	0.5786666667	0.5986666667	0.3653333333	0.377	0.4063333333	0.3906666667	0.438	0.4256666667
Cox5a	0.0165	0.0105	0.0195	0.038	0.0305	0.001	0.021	0.0265	0.0295	5.0E-4	0.0025	0.023	0.022	0.0025	0.031	0.01	0	0.0175	0.02
Tbx2	0.05875	0.070375	0.06775	0.08075	0.07225	0.070625	0.060125	0.096125	0.089625	0.0865	0.04875	0.06925	0.08825	0.051125	0.0485	0.050375	0.053375	0.057	0.051875
Tbx4	0.2339090909	0.2938181818	0.3059090909	0.3171818182	0.3103636364	0.2993636364	0.2854545455	0.3270909091	0.3048181818	0.3174545455	0.2687272727	0.314	0.3232727273	0.2859090909	0.2598181818	0.1539090909	0.1920909091	0.2399090909	0.2590909091
Zfy2	0.8819230769	0.8907692308	0.8934615385	0.9176923077	0.9119230769	0.845	0.8707692308	0.9165384615	0.9053846154	0.8442307692	0.8153846154	0.8915384615	0.905	0.8746153846	0.8719230769	0.8592307692	0.8603846154	0.8769230769	0.8769230769
Ngfr	0.4644	0.4966	0.5097	0.5437	0.5328	0.5229	0.4828	0.5406	0.5443	0.5413	0.3053	0.5209	0.4969	0.4211	0.4222	0.3908	0.3674	0.4674	0.4504
Wnt3	0.6541	0.6607	0.6658	0.6748	0.6831	0.6747	0.6596	0.6889	0.6801	0.6771	0.6255	0.6633	0.6782	0.5831	0.5812	0.5813	0.5771	0.4895	0.5324
Wnt9a	0.5083333333	0.5433333333	0.5643333333	0.5908333333	0.58	0.582	0.5208333333	0.5551666667	0.5658333333	0.5715	0.449	0.56	0.584	0.3513333333	0.3406666667	0.3156666667	0.292	0.4558333333	0.4245
Xpo6	0.241	0.1768	0.3478	0.3534	0.36	0.3512	0.3158	0.3448	0.3624	0.3528	0.2834	0.3536	0.35	0.1798	0.1624	0.1508	0.1742	0.1654	0.1682
Tcfe3	0.2963333333	0.2846666667	0.3106666667	0.318	0.3213333333	0.3333333333	0.0383333333	0.3303333333	0.34	0.3333333333	0.0176666667	0.3366666667	0.321	0.5016666667	0.4763333333	0.465	0.293	0.5	0.4683333333
Axin2	0.5674285714	0.5996428571	0.6045	0.6252857143	0.6252142857	0.6222142857	0.5693571429	0.6196428571	0.6082142857	0.6195	0.4811428571	0.6117857143	0.568	0.4924285714	0.5099285714	0.3620714286	0.3958571429	0.4707857143	0.4685
Gna12	0.6061111111	0.5618888889	0.6503333333	0.5883333333	0.6345555556	0.59	0.6236666667	0.5357777778	0.5245555556	0.6645555556	0.4781111111	0.5916666667	0.5794444444	0.5241111111	0.6024444444	0.4956666667	0.6037777778	0.6188888889	0.5966666667
Slc22a18	0.3645	0.38375	0.43125	0.30925	0.4325	0.4205	0.37675	0.50975	0.5205	0.47075	0.2645	0.3715	0.46775	0.10125	0.1165	0.08125	0.09825	0.144	0.156
Pih1d2	0.93	0.939	0.962	0.9715	0.9465	0.9605	0.9225	0.98	0.9745	0.986	0.8355	0.959	0.9735	0.907	0.9315	0.8505	0.9065	0.9525	0.941
